ROCO_ID,PMC_ID,Keywords,Caption,keyword_label,matched_keywords,split,sample_id,caption,keywords,label,image_path,image_exists,caption_len,pair_id
ROCO_53336,PMC4288840_ajcr-6-9.f1.jpg,"different,intestine,complete,figure,radiograph,opacification,large,obstruction,abdominal,rectum,multiple,calcified,size", Figure 1: Abdominal radiograph showing multiple opacification of different sizes scattered throughout the large intestine. The rectum is fully calcified showing complete obstruction.,xray_radiograph,radiograph,train,ROCO_53336,Figure 1: Abdominal radiograph showing multiple opacification of different sizes scattered throughout the large intestine. The rectum is fully calcified showing complete obstruction.,"different,intestine,complete,figure,radiograph,opacification,large,obstruction,abdominal,rectum,multiple,calcified,size",xray_radiograph,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4288840_ajcr-6-9.f1.jpg,True,182,train_024841
ROCO_45850,PMC5287996_aml-23-219-g002.jpg,"placenta,doppler,abdominal,variou,irregular,space,wall,image,probe,flow,bladder,heterogeneou,ultrasound,posterior,blood,lacunar,active,size,present,mode", An ultrasound image in Doppler mode. Abdominal probe. Lacunar spaces (L) of various size and irregular are present in the placenta (P). The posterior wall of the bladder (B) is convex. An active heterogeneous blood flow (V) is observed near the bladder and in the placenta,ultrasound,ultrasound,train,ROCO_45850,An ultrasound image in Doppler mode. Abdominal probe. Lacunar spaces (L) of various size and irregular are present in the placenta (P). The posterior wall of the bladder (B) is convex. An active heterogeneous blood flow (V) is observed near the bladder and in the placenta,"placenta,doppler,abdominal,variou,irregular,space,wall,image,probe,flow,bladder,heterogeneou,ultrasound,posterior,blood,lacunar,active,size,present,mode",ultrasound,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC5287996_aml-23-219-g002.jpg,True,272,train_021358
ROCO_05462,PMC4528867_10.1177_2324709614528903-fig3.jpg,"case,ultrasound,examination", Ultrasound examination of case 2.,ultrasound,ultrasound,train,ROCO_05462,Ultrasound examination of case 2.,"case,ultrasound,examination",ultrasound,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4528867_10.1177_2324709614528903-fig3.jpg,True,33,train_002529
ROCO_01133,PMC5439250_CRIID2017-1489210.004.jpg,"followup,turcica,normal,sella,discrete,enhancement,heterogenou,size,pituitary,mri", MRI of sella turcica at 10-month follow-up (May 2015): normal pituitary size with discrete heterogenous enhancement.,mri,mri,train,ROCO_01133,MRI of sella turcica at 10-month follow-up (May 2015): normal pituitary size with discrete heterogenous enhancement.,"followup,turcica,normal,sella,discrete,enhancement,heterogenou,size,pituitary,mri",mri,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC5439250_CRIID2017-1489210.004.jpg,True,116,train_000558
ROCO_80264,PMC3298221_wjem-13-01-17w-f02.jpg,"lobe,frontal,magnetic,brain,imaging,resonance,contusion", Magnetic resonance imaging of the brain showing frontal lobe contusions.,mri,"magnetic,resonance,magnetic resonance",train,ROCO_80264,Magnetic resonance imaging of the brain showing frontal lobe contusions.,"lobe,frontal,magnetic,brain,imaging,resonance,contusion",mri,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3298221_wjem-13-01-17w-f02.jpg,True,72,train_037359
ROCO_47147,PMC3976660_PAMJ-16-66-g001.jpg,"nerve,optic,metastasi,magnetic,len,brain,mri,resonance,dislocation", Brain magnetic resonance imaging (MRI) showing metastasis of the optic nerve associated with a lens dislocation,mri,"mri,magnetic,resonance,magnetic resonance",train,ROCO_47147,Brain magnetic resonance imaging (MRI) showing metastasis of the optic nerve associated with a lens dislocation,"nerve,optic,metastasi,magnetic,len,brain,mri,resonance,dislocation",mri,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3976660_PAMJ-16-66-g001.jpg,True,111,train_021939
ROCO_32640,PMC3636927_JISP-17-104-g010.jpg,"radiographic,month,osseou,defect,fill", Radiographic osseous defect fill after 6 months,xray_radiograph,radiographic,train,ROCO_32640,Radiographic osseous defect fill after 6 months,"radiographic,month,osseou,defect,fill",xray_radiograph,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3636927_JISP-17-104-g010.jpg,True,47,train_015126
ROCO_74186,PMC4973906_pntd.0004849.g003.jpg,"multiple,scan,thickwalled,pocket,ultrasound,echogenic,subcutaneou,grain,oedema,minimal"," Ultrasound scan showing multiple thick-walled pockets containing multiple echogenic grains, with minimal subcutaneous oedema.",ultrasound,ultrasound,train,ROCO_74186,"Ultrasound scan showing multiple thick-walled pockets containing multiple echogenic grains, with minimal subcutaneous oedema.","multiple,scan,thickwalled,pocket,ultrasound,echogenic,subcutaneou,grain,oedema,minimal",ultrasound,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4973906_pntd.0004849.g003.jpg,True,125,train_034565
ROCO_37230,PMC4495085_jcen-17-113-g002.jpg,"anterior,right,third,cerebral,presentation,bifurcation,second,mca,middle,anteriorposterior,clinical,aneurysm,arrow,carotid,artery,injection,view,angiogram,suspected,first"," Anterior-posterior view of a right carotid injection angiogram. From right to left, the first arrow indicates a right-filling anterior communicating artery aneurysm. The second arrow indicates a M1 aneurysm. The third arrow indicates a middle cerebral artery (MCA) bifurcation aneurysm. The MCA bifurcation aneurysm was the suspected ruptured aneurysm based on the clinical presentation.",angiography,angiogram,train,ROCO_37230,"Anterior-posterior view of a right carotid injection angiogram. From right to left, the first arrow indicates a right-filling anterior communicating artery aneurysm. The second arrow indicates a M1 aneurysm. The third arrow indicates a middle cerebral artery (MCA) bifurcation aneurysm. The MCA bifurcation aneurysm was the suspected ruptured aneurysm based on the clinical presentation.","anterior,right,third,cerebral,presentation,bifurcation,second,mca,middle,anteriorposterior,clinical,aneurysm,arrow,carotid,artery,injection,view,angiogram,suspected,first",angiography,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4495085_jcen-17-113-g002.jpg,True,387,train_017288
ROCO_44955,PMC4991172_JPN-11-163-g003.jpg,"right,mediastinal,scan,shift,chest,axial,massive,chylothorax,tomography", Axial computed tomography scan of the chest shows massive right chylothorax with mediastinal shift,ct,"tomography,computed tomography",train,ROCO_44955,Axial computed tomography scan of the chest shows massive right chylothorax with mediastinal shift,"right,mediastinal,scan,shift,chest,axial,massive,chylothorax,tomography",ct,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4991172_JPN-11-163-g003.jpg,True,98,train_020939
ROCO_10653,PMC3291453_05-1044-F.jpg,"angiography,right,patient,aorta,femoral,iliac,internal,involvement,common,artery", Femoral angiography of patient 1 demonstrating involvement of the right common iliac artery upward to the aorta and extending to the left internal iliac artery.,angiography,angiography,train,ROCO_10653,Femoral angiography of patient 1 demonstrating involvement of the right common iliac artery upward to the aorta and extending to the left internal iliac artery.,"angiography,right,patient,aorta,femoral,iliac,internal,involvement,common,artery",angiography,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3291453_05-1044-F.jpg,True,160,train_004945
ROCO_43695,PMC4204268_JMAS-10-213-g001.jpg,"mas,abdoman,adrenal,magnetic,resonance", Magnetic resonance imaging abdomen showing the adrenal mass,mri,"magnetic,resonance,magnetic resonance",train,ROCO_43695,Magnetic resonance imaging abdomen showing the adrenal mass,"mas,abdoman,adrenal,magnetic,resonance",mri,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4204268_JMAS-10-213-g001.jpg,True,59,train_020355
ROCO_79760,PMC4293849_AMS-4-211-g004.jpg,"picture,window,tissue,soft,tomographyscan", Computed tomography-scan soft tissue window picture,ct,"tomography,computed tomography",train,ROCO_79760,Computed tomography-scan soft tissue window picture,"picture,window,tissue,soft,tomographyscan",ct,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4293849_AMS-4-211-g004.jpg,True,51,train_037116
ROCO_58003,PMC4568643_EUS-4-266-g004.jpg,"repeat,lesion,year,growth,radial,new,cystic,change,endoscopic"," Repeat radial endoscopic ultrasound exam (2 years later): Growth of the lesion, with new cystic changes",ultrasound,ultrasound,train,ROCO_58003,"Repeat radial endoscopic ultrasound exam (2 years later): Growth of the lesion, with new cystic changes","repeat,lesion,year,growth,radial,new,cystic,change,endoscopic",ultrasound,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4568643_EUS-4-266-g004.jpg,True,103,train_027013
ROCO_20234,PMC3097682_biij-03-e42-g04.jpg,"arrow,particle,aspiration,needle,ultrasound,transoesophageal,hyperechoic,cyst,fine,endoscopic", Endoscopic transoesophageal ultrasound guided fine needle aspiration (arrow - hyperechoic particles within cyst),ultrasound,ultrasound,train,ROCO_20234,Endoscopic transoesophageal ultrasound guided fine needle aspiration (arrow - hyperechoic particles within cyst),"arrow,particle,aspiration,needle,ultrasound,transoesophageal,hyperechoic,cyst,fine,endoscopic",ultrasound,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3097682_biij-03-e42-g04.jpg,True,112,train_009396
ROCO_56232,PMC2998008_jksc-26-298-g001.jpg,"simple,xray,abdominal,room,emergency", Simple abdominal X-ray taken in an Emergency Room.,xray_radiograph,"xray,x ray",train,ROCO_56232,Simple abdominal X-ray taken in an Emergency Room.,"simple,xray,abdominal,room,emergency",xray_radiograph,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC2998008_jksc-26-298-g001.jpg,True,50,train_026190
ROCO_47282,PMC3249821_MEAJO-18-320-g004.jpg,"angiography,hypofluorescent,arrowhead,optic,area,temporal,due,late,discretinal,arrow,phase,artery,super,leakage,inferior", Fluorescein angiography (late phase) depicts a hypofluorescent area (arrow) due to non-filling of the super temporal artery and leakage of inferior optic disc-retinal arteries (arrowheads),angiography,angiography,train,ROCO_47282,Fluorescein angiography (late phase) depicts a hypofluorescent area (arrow) due to non-filling of the super temporal artery and leakage of inferior optic disc-retinal arteries (arrowheads),"angiography,hypofluorescent,arrowhead,optic,area,temporal,due,late,discretinal,arrow,phase,artery,super,leakage,inferior",angiography,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3249821_MEAJO-18-320-g004.jpg,True,188,train_022007
ROCO_21366,PMC4772417_IJSS-10-44-g003.jpg,"proximal,fragment,distal,lateral,displacement,twopart,xray,cortex,fracture,anteroposterior,humeru,plain"," Plain anteroposterior X-ray of the two-part proximal humerus fracture. Notice the lateral displacement of the distal fragment, further than the lateral cortex of the proximal fragment",xray_radiograph,"xray,x ray,anteroposterior",train,ROCO_21366,"Plain anteroposterior X-ray of the two-part proximal humerus fracture. Notice the lateral displacement of the distal fragment, further than the lateral cortex of the proximal fragment","proximal,fragment,distal,lateral,displacement,twopart,xray,cortex,fracture,anteroposterior,humeru,plain",xray_radiograph,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4772417_IJSS-10-44-g003.jpg,True,183,train_009932
ROCO_44933,PMC5251254_iort-88-10.F03.jpg,"anteversion,cup,radiograph,dd,radiographic,component,axi,ap,acetabular,short,etal,asin1,ellipse", Radiographic cup anteversion as calculated using an AP radiograph (Abdel et al. 2016). d: short axis of the ellipse of the acetabular component; D: long axis of the ellipse of the acetabular component. Anteversion (A) is calculated as: A = sin−1 (d/D).,xray_radiograph,"radiograph,radiographic",train,ROCO_44933,Radiographic cup anteversion as calculated using an AP radiograph (Abdel et al. 2016). d: short axis of the ellipse of the acetabular component; D: long axis of the ellipse of the acetabular component. Anteversion (A) is calculated as: A = sin−1 (d/D).,"anteversion,cup,radiograph,dd,radiographic,component,axi,ap,acetabular,short,etal,asin1,ellipse",xray_radiograph,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC5251254_iort-88-10.F03.jpg,True,252,train_020928
ROCO_21164,PMC3511498_pone.0050234.g003.jpg,"arrow,hypoechoic,image,visible,ultrasound,capsule,infiltrative,thin,hyperechoic,perineal,line,lipomaan,lipoma"," Ultrasound image of perineal lipoma.An infiltrative perineal lipoma, ultrasonographically appearing hypoechoic and multilobulated because of thin hyperechoic lines; a thin limiting capsule is visible (arrows).",ultrasound,ultrasound,train,ROCO_21164,"Ultrasound image of perineal lipoma.An infiltrative perineal lipoma, ultrasonographically appearing hypoechoic and multilobulated because of thin hyperechoic lines; a thin limiting capsule is visible (arrows).","arrow,hypoechoic,image,visible,ultrasound,capsule,infiltrative,thin,hyperechoic,perineal,line,lipomaan,lipoma",ultrasound,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3511498_pone.0050234.g003.jpg,True,209,train_009837
