Text,True_Label,Predicted_Label,Confidence
"An intervention delivered to mid-adolescents in combination with a parent-adolescent sexual-risk communication intervention increased HIV/AIDS knowledge , condom-use skills , and self-efficacy and had a marginal effect on consistent condom use .",results,conclusions,0.94828296
Further efficacy trials are needed to test the effects of Web support when offered as a part of routine care .,background,conclusions,0.94603825
"For device licensing , no new evidence of TVT Secur efficacy and safety was needed : rather evidence was provided of the long-term follow-up of patients who had a procedure using a predecate retropubic tension-free vaginal tape device .",background,conclusions,0.9437129
Both techniques may be applied to guide management in case of angiographically intermediate coronary lesions .,background,conclusions,0.9411093
Survival rates after PCS were greater at all time intervals and in all Child classes ( P < @ ) .,methods,results,0.9410411
"Topiramate ( TOP ) and anticonvulsants in general are considered safe and effective drugs for the treatment of alcohol dependence , even though TOP-induced adverse events are quite common , especially for high initial doses or if titration to @ mg/d is too rapid .",background,conclusions,0.93855566
This study is the first of its kind and will provide a greater understanding of the role of a mental health enhancement program on the physical recovery of total joint arthroplasty patients .,background,conclusions,0.93829125
"VO@ pic increased after AT ( @ @ vs @ @ mL O@/min/kg , P < @ ) and remained unchanged after CT ( @ @ vs @ @ , P = NS ) .",methods,results,0.9376496
Our work has demonstrated that fear of movement is a risk factor for increased pain and disability and decreased physical function in patients following lumbar spine surgery for degenerative conditions .,background,conclusions,0.9374503
"Carvedilol significantly reduced HVPG from @ mm Hg ( SD , @ ) to @ mm Hg ( SD , @ ) after @ minutes and to @ mm Hg ( SD , @ ) after @ days ( P < @ ) .",methods,results,0.9360845
Correction of the nasojugal groove with a Restylane Vital injector causes minimal tissue trauma and allows exact placement of hyaluronic acid .,results,conclusions,0.9347661
"sST@ , GDF-@ , and hsTnT are strongly associated with CV outcomes in HF .",background,conclusions,0.9346761
Prototype alteration and provision of a cue reminder could be useful strategies to enhance the effectiveness of online tailored interventions for excessive drinking .,background,conclusions,0.9336464
"Compared with OP , PKEP was associated with less perioperative hemoglobin decrease , shorter catheterization time , and shorter postoperative hospital stay ( @ vs @ g/dl , @ vs @h , and @ vs @ d , respectively ; p < @ for all ) , as well as fewer short-term complications ( @ % vs @ % , p = @ ) .",conclusions,results,0.93204653
Thromboses were more commonly incident ( n = @ -LSB- @ % -RSB- ) than prevalent ( n = @ -LSB- @ % -RSB- ) ( P < @ ) and more often deep ( n = @ -LSB- @ % -RSB- ) than superficial ( n = @ -LSB- @ % -RSB- ) ( P < @ ) .,methods,results,0.9317823
"Nebivolol reduced HVPG from @ mm Hg ( SD , @ ) to @ mm Hg ( SD , @ ) and @ mm Hg ( SD , @ ) , respectively ( P < @ ) .",methods,results,0.93085855
A PCR assay confirms the presence of IAV in the nasal swabs taken from inoculated gilts between @ and @ dpi .,results,conclusions,0.9306447
"Given that many centers participate in the VQI , this model can be used to perform multicenters ' prospective trials on very modest budget .",background,conclusions,0.9305398
"An @-week only-one dietary intervention : @ g/d of white fish ( Namibia hake ) with advice on a healthy diet , compared with no fish or seafood with advice on a healthy diet .",results,methods,0.9304396
"There is a significant increase in BFU-E in peripheral blood immediately following traumatic injury , and this mobilization persists for @ days .",results,conclusions,0.9289758
Dietary sodium influences intermediate physiological traits in healthy adults independent of changes in blood pressure .,background,conclusions,0.9285573
"To our knowledge , the present study is the first report showing that CPs supplementation has beneficial effects on lipid profile , oxidative stress and alcoholic liver injury in men with chronic alcohol consumption .",background,conclusions,0.92757297
"In the expanded RCT of TIPS versus EPCS , @ and @ % , respectively , were in Child class C. Permanent control of BGV was achieved in @-@ % of patients treated by emergency or elective PCS , compared with @-@ % by ET .",methods,results,0.9275026
Implementation of effective SHSe interventions within community organizations has the potential for significant public health impact .,background,conclusions,0.9258925
"Moreover , these techniques may be used to optimize the result of percutaneous coronary intervention .",background,conclusions,0.92581606
The recommended intake of clear liquids until @ hours before surgery is reportedly safe and effective .,background,conclusions,0.9256441
An AHINS < @ events/hour is highly repeatable from night to night .,results,conclusions,0.92502004
"After adjusting for Acute Physiology and Chronic Health Evaluation ( APACHE ) II scores , personal or family history of venous thromboembolism , body mass index , vasopressor use , type of thromboprophylaxis , and presence of leg DVT , NLDVTs were associated with an increased risk of PE ( HR , @ ; @ % CI , @-@ @ ) .",methods,results,0.9249326
"In women with mixed urinary incontinence , pelvic floor muscle training and solifenacin is the recommended conservative treatment , while electroacupuncture is a safe , economical and effective option .",background,conclusions,0.9238796
"The Airtraq optical laryngoscope is a relatively novel intubation device , which allows visualization of the glottic plane without alignment of the oral , pharyngeal , and tracheal axes , possessing advantages over Macintosh for novice personnel .",background,conclusions,0.92362034
These findings may indicate an accommodation period is necessary to acclimate to SB sitting .,background,conclusions,0.92262995
"On intention-to-treat analysis , both the PKEP and OP groups had equivalent Qmax ( @ ml/s vs @ ml/s , respectively ; p = @ ) , International Prostate Symptom Score ( @ -LSB- @-@ -RSB- vs @ -LSB- @-@ -RSB- , respectively p = @ ) , quality of life ( @ -LSB- @-@ -RSB- vs @ -LSB- @-@ -RSB- , respectively ; p = @ ) , and postvoid residual urine ( @ -LSB- @-@ @ -RSB- vs @ -LSB- @-@ -RSB- ml , respectively ; p = @ ) at @ mo postoperatively .",conclusions,results,0.921493
Educational material and feedback design were based on current NHS Scotland practice and Advisory Group recommendations .,results,methods,0.92094296
This randomized pilot and feasibility study will provide preliminary information on the routine use of jejunostomy feeding after hospital discharge in terms of clinical benefits and QoL .,methods,conclusions,0.9207184
Ischemia-reperfusion did not significantly reduce FMD in patients with CAD + type @ diabetes .,results,conclusions,0.9200051
"The animal experiment was conducted according to a license obtained by the Danish Animal Experiments Inspectorate , Ministry of Food , Agriculture and Fisheries , Danish Veterinary and Food Administration .",conclusions,methods,0.91905504
These findings emphasize the need for re-examination of tumor characteristics at relapse and have led to recommendations from ESMO and the Swedish Breast Cancer group .,background,conclusions,0.9188353
The CAPRISA @ implementation trial provides an opportunity to provide post-trial access to tenofovir gel while generating empiric evidence to assess whether integrating tenofovir gel provision into routine FP services can achieve similar levels of adherence as the CAPRISA @ trial .,background,conclusions,0.916531
The concept of improved patellar tracking and decreased retropatellar contact pressure for lateral retinacular release theoretically suggests that patients with lateral retinacular release in TKA would achieve a lower incidence of anterior knee pain when compared without lateral retinacular release .,objective,conclusions,0.9161767
The mucosal damage scores for the alendronate group ( total score @ ) were significantly higher than those for the Maxmarvil group ( total score @ ) in the esophagus and stomach .,conclusions,results,0.916173
"RIPC-induced protection was reflected by decreased serum troponin I concentration area under the curve ( @ versus @ ng/ml @ h , p = @ ) .",methods,results,0.916043
It suggests the necessity of prescription of a third anti-AH preparation to these patients .,results,conclusions,0.9160359
"In addition , the reference meat diet should not yield an increase in plasma concentration of the candidate marker .",methods,conclusions,0.9159386
Despite a lower estimated work performed ; high-intensity intermittent exercise ( HIIE ) training produces greater fat mass reductions when compared with workload-matched continuous ( CON ) steady state exercise .,objective,conclusions,0.91445327
A pre-school PCV-@ booster was highly immunogenic and resulted in low rates of local and systemic adverse effects .,results,conclusions,0.91361475
"Women with PCOS present elevated plasma insulin levels , both fasting and after a glucose load , as an indirect evidence of insulin resistance .",background,conclusions,0.913491
"Results from a previously conducted placebo-controlled study of AVP-@ showed a high degree of headache relief with an early onset of action ( eg , @ % AVP-@ vs @ % placebo device at @ hour , P < @ ) .",background,results,0.91222036
"To determine and compare the frequency of NEC and/or death after @ days , frequency of proven sepsis , rates of feeding intolerance and duration of hospital stay .",methods,objective,0.9118095
Bright constant light levels in the NICU may have negative effects on the growth and development of preterm infants,background,conclusions,0.91120106
"A collaborative care team , including a psychiatrist , psychologist , project manager , and @ social workers , met weekly , collaborated with the patients ' obstetrics providers , and monitored depression severity using an electronic tracking system .",conclusions,methods,0.91002446
PT is a key pelvic parameter in the regulation of spine sagittal alignment that can be used to plan the appropriate osteotomy angle in patients with AS with thoracolumbar kyphosis .,background,conclusions,0.9097003
"An independent wound core lab will evaluate all ischemic wounds to assess the extent of healing and time to healing at @ , @ , and @ months .",conclusions,methods,0.9096449
"Cancer was the only independent predictor of incident NLDVT ( hazard ratio -LSB- HR -RSB- , @ ; @ % CI , @-@ @ ) .",methods,results,0.9084857
The I-gel ( IG ) supraglottic airway device is a reliable way to establish an airway .,background,conclusions,0.9080973
"At @months , rates of the composite outcome of death , end-stage renal disease and relapse did not differ between groups .",conclusions,results,0.90750736
The control group received the skin care protocol every @ hours and the interventional group received the protocol every @ hours ; both groups also received it as needed .,objective,methods,0.9074298
"The key implication for low - and middle-income countries where medical certification of death remains uncommon is to implement COD surveys that randomly sample all deaths , use simple but high-quality field work with built-in resampling , and use electronic rather than paper systems to expedite field work and coding .",results,conclusions,0.9055261
"Pain experts suggest that any observational tool should be used as part of a comprehensive pain management protocol , which should include score interpretation and verification with appropriately suggested treatments .",background,conclusions,0.90527153
"Pain and sexuality outcomes for couples with PVD are influenced by interpersonal factors , such as pain catastrophizing , partner responses to pain , ambivalence over emotional expression , attachment style and perceived relationship and sexual intimacy .",background,conclusions,0.9050295
"Although refuted by the findings of a subsequent study , a substudy of CREST established a higher periprocedural stroke rate for CAS when the surgeon was a vascular surgeon .",objective,conclusions,0.9049687
This property of denosumab is distinct from that of alendronate and likely contributes to the efficacy of combination denosumab and teriparatide therapy .,background,conclusions,0.90382105
"Comparing average IL-@ values between the two treatment groups in all tear samples at @ h , @ h and @ h after intervention a significantly higher level in the PRK group @ h after procedure ( p = @ ) was detected .",methods,results,0.90334624
Pilot-CRAfT is the first randomized controlled trial evaluating the efficacy of a rhythm control strategy in atrial fibrillation patients with cardiac resynchronization therapy devices .,methods,conclusions,0.90293574
"One h after the treatment IL-@ was detectable in @ % of samples for the LASIK group and @ % of samples for the PRK group , and @ h after the treatment it was detectable in @ % of samples for the LASIK group and in @ % of samples for the PRK group .",methods,results,0.9021188
"A Clinical Events Committee and Data Safety Monitoring Board will adjudicate the composite primary safety endpoints of all-cause death , major amputation , and clinically driven TLR at @ months and other trial endpoints and supervise patient safety throughout the study .",conclusions,methods,0.90152365
"An inextensible LSO ( iLSO ) reduces trunk motion and increases trunk stiffness , whereas an extensible LSO ( eLSO ) does not .",background,conclusions,0.9014013
To examine whether using the axillary vein as a site of insertion of a PICC line affects the frequency of complications .,methods,objective,0.9013205
"The role of physical education students , as future teachers , seems to be of high importance in terms of protecting children 's safety during sports classes .",background,conclusions,0.9011896
There was no significant difference in proximal migration between the tantalum and titanium acetabular cups through the five-year follow-up ( p > @ ) .,conclusions,results,0.9011844
"Remission of symptoms was achieved by @ and @ % of participants treated with placebo and vitamins by week @ ( P = @ ) , by @ and @ % at week @ and @ and @ % at week @ ( effect of intervention over @ weeks : odds ratio ( OR ) = @ , @ % CI @-@ @ ) .",methods,results,0.9011046
Follow-up is standardized according to current trauma guidelines .,conclusions,methods,0.90030754
"Analyses of secondary end points , including body weight , use of glucose-lowering medications , and quality of life , also showed favorable results at @ years in the surgical groups , as compared with the group receiving medical therapy alone .",conclusions,results,0.9001487
The present study 's anxiety management of psychoeducation and systematic education for test anxiety reduced lack of motivation and psychological distress and improved grade point average ( GPA ) .,results,conclusions,0.8995399
"All affected eyes were treated with topical cyclopentolate @ % ( to break , or minimize , posterior synechiae ) , and intensive , potent , topical corticosteroids with a tapering regime based on treatment response .",results,methods,0.89948344
"In this randomised and controlled study , @ CAD patients were randomly assigned to an experimental or to a control group .",results,methods,0.8992969
"Additionally , AST resulted in significantly fewer vessel-to-air exposure events ( P < @ ) and unprotected sharps exposures ( P < @ ) .",conclusions,results,0.8977922
Children born to mothers in the study group were a mean @ g heavier at @ years of age and their systolic blood pressure was a mean @ mm Hg lower than children born to mothers in the control group .,background,results,0.8976868
"The risk of subsequent relapse among those who had achieved remission of symptoms at week @ was lower in the vitamins than placebo group ( OR = @ , @ % CI @-@ @ ) .",methods,results,0.8974333
"Many of the post-test questions/behaviors ( e.g. , capable of exiting home during a fire , etc. ) were reported at @ % .",conclusions,results,0.8974064
"The distribution of FI was similar to that seen in population studies of adults aged @years and above ( median FI , @ ; IQR , @-@ @ ) .",methods,results,0.89723223
"Four weeks of training induced significant increase in pVO@ peak , VO@-vt and FC-vt , expressed in absolute or relative value ( P < @,@ ) , without any difference between AT and CT modalities ( P = NS ) .",methods,results,0.89711374
Levosimendan augments haemodynamics without further oxygen consumption and improves echocardiographic indices of diastolic dysfunction .,background,conclusions,0.89674574
Pure-tone loss ( PTA ) was correlated to monosyllabic perception at @ dB with hearing aid and with maximum monosyllabic perception with headphones .,methods,results,0.8965481
To examine the effects of complex cognitive ( mahjong ) and physical ( Tai Chi ) activities on dementia severity in nursing home residents with dementia .,background,objective,0.8956178
"Despite low plasma isoflavone concentrations in the general Western population , concentrations in supplement users exceed those suggested to be beneficial for health in Asian populations , raising concerns for adverse effects .",objective,conclusions,0.8951897
"Further reductions on PTSD symptoms were found at three months , showing that NET-R is as effective as the original NET in treating post-earthquake traumatic symptoms in adult Chinese earthquake survivors .",results,conclusions,0.8947543
"Sixty five females aged @-@ years were classified into one of four groups following waist circumference ( WC ) measurements and an oral glucose tolerance test : NGT/low WC ( n = @ ) , NGT/high WC ( n = @ ) , IGT/low WC ( n = @ ) , IGT/high WC ( n = @ ) .",results,methods,0.8946409
The control group participated in the usual cardiac rehabilitation programme only .,results,methods,0.894365
The reason for the large difference in OS despite similar DFS/PFS is likely different metastatic patterns at relapse/progression .,results,conclusions,0.89435804
STARR procedure is just faster to perform even if more expensive .,results,conclusions,0.89378303
"In order to avoid efficiency losses , we recommend that the time requirements for delivering the promotion of exclusive infant feeding are considered when integrating it within the existing activities of CHWs .",results,conclusions,0.89351505
"In a cluster randomized trial carried out in Jinja district , Uganda , @ primary schools were randomized into two groups ; one received education messages for schistosomiasis prevention for two months prior to mass treatment , while the other , in addition to the education messages , received a pre-treatment snack shortly before mass treatment .",results,methods,0.8924126
PINP SDS and UHP SDS at term age and PINP SDS at three months were associated with subsequent weight and length gain until six months post-term .,results,conclusions,0.89233875
A QoL questionnaire including a pain scale will assess changes from baseline scores through @ months .,conclusions,methods,0.89200675
"All patients were very satisfied or satisfied with the function and aesthetics of the prostheses , and would undergo the same procedure again .",results,methods,0.89137584
"Specifically , startReact elbow flexion in unimpaired individuals is not statistically different from stroke survivors in terms of onset latency and muscle activation patterns .",objective,conclusions,0.89038193
"In the placebo group , treatment comprised a placebo and fluticasone propionate .",results,methods,0.8893591
Unblinded randomisation occurred on a weekly basis .,results,methods,0.8893258
A total of @ patients ( aged @-@ years ) were randomly assigned to one of two groups .,results,methods,0.88842165
Group differences in MADRS scores over time were not significant ( P = @ ) .,methods,results,0.88783294
The PK profiles of mipomersen in Japanese subjects are similar to those observed in Western subjects .,results,conclusions,0.88753545
"A Mediterranean diet , supplemented with olive oil , increases plasma antioxidant capacity , suggesting that its implementation can have a favorable effect on the aforementioned phenomena .",background,conclusions,0.887535
"Carvedilol effectively decreased HVPG in a greater proportion of the patients after an acute probe ( @ % vs. @ % ) and after @ days of the treatment ( @ % vs. @ % , P < @ ) in comparison with nebivolol .",methods,results,0.8866573
"DP can be used for serial monitoring , to decrease hypercarbia , improve sleep , and decrease atrophy .",results,conclusions,0.8860711
Prucalopride is effective at alleviating symptoms of chronic constipation in women .,objective,conclusions,0.8856481
"In a single-center , randomized , double-blinded , placebo-controlled , multi-arm parallel-group clinical trial , patients undergoing primary Fontan surgery were assigned to receive nesiritide , milrinone , or placebo .",results,methods,0.88502645
It is an effective intervention in improving health worker performance in low resource settings .,background,conclusions,0.884873
All patients were treated with aspirin and risk-adjusted doses of prasugrel .,results,methods,0.8847176
"Insomnia Severity Index ( ISI ) total score and sleep parameters derived from a daily sleep diary and actigraphy , collected at pretreatment and posttreatment .",results,methods,0.884228
"Patients who have a malignant condition may have a significantly higher risk of developing NLDVT , and patients with NLDVT , compared with those without , appeared to be at higher risk of PE but not higher risk of death .",methods,conclusions,0.88322717
"To determine the relationship between type three secretion genotype and fluoroquinolone resistance for P. aeruginosa strains isolated from microbial keratitis during the Steroids for Corneal Ulcers Trial ( SCUT ) and for two laboratory strains , PA@ and PAO@ .",background,objective,0.8823316
"In addition , patients receiving less fluid and less sodium show faster recovery of gastrointestinal ( GI ) function after colonic surgery .",background,conclusions,0.8819484
Our study demonstrated poor agreement between ultrasound and bimanual examination compared with exact volume during histopathologic examination and MRI-based volume .,results,conclusions,0.8816078
"To investigate the ability of the prostate genetic score ( PGS-@ ) , a germ-line biomarker of prostate cancer ( PCa ) risk , to categorize men participating in the Prostate , Lung , Colorectal and Ovarian ( PLCO ) Cancer Screening Trial .",background,objective,0.88155997
"With the use of a flexible bronchoscope , the IG offers a good visualization of the laryngeal inlet .",background,conclusions,0.88138056
"The experimental group participated in a programme of @ sessions of cardiac coherence biofeedback training , in addition to the rehabilitation programme .",results,methods,0.8809112
This study will inform the design of a larger prospective randomised controlled trial .,background,conclusions,0.880258
To evaluate the potential efficacy and safety of inner limiting membrane ( ILM ) staining with brilliant blue G ( BBG ) under air infusion .,background,objective,0.8802315
Polysomnography was conducted over @ nights at the end of each period .,results,methods,0.88009065
The dermatitis score means and P values of each group were compared using a paired t test .,results,methods,0.8797426
"Breast International Group ( BIG ) @-@ is a randomised phase III trial that tested the effect of adding docetaxel , either in sequence to or in combination with anthracycline-based adjuvant chemotherapy , in women with node-positive breast cancer ( BC ) .",objective,background,0.8793039
LGSAS despite preserved EF represents a clinically challenging entity .,background,conclusions,0.8791326
In Group L@ @ a lower appearance of nausea and hypotension were observed and motor and sensitive block developed and diminished faster while no clinically significant differences in hemodynamic behavior was observed between groups .,conclusions,results,0.8773841
"Before and after @ weeks , all subjects underwent physiological examination , stepwise treadmill test with blood lactate analysis , and contrast-enhanced cardiovascular magnetic resonance imaging ( cine , tagging , and delayed enhancement ) .",results,methods,0.8770137
"CDT consists of the following components ; skin care , manual lymphatic drainage , bandaging and exercises .",background,methods,0.8768375
"CT sensitivity for stage IA is more than @-fold higher compared with CXR , for all histologies .",results,conclusions,0.8764242
To prospectively evaluate whether short-term high-intensity ( interval ) training ( HI ( I ) T ) induces detectable morphological cardiac changes in previously untrained men in cardiovascular magnetic resonance imaging .,background,objective,0.8761717
This paradigm optimally mimics the clinical protocol as well as focuses on both the stimulation and the resting periods .,methods,conclusions,0.8759473
AFIX did little to improve coverage among older adolescents .,results,conclusions,0.875909
"However , contrary to expectation , the Education group was more efficacious than the Coping group in improvement of disease adherence and glycemic control over a @-year follow-up .",results,conclusions,0.87547374
Periinduction period of general anaesthesia is very important with significant changes of haemodynamics what could be reflected in the changes of the parameter of heart rate variability .,background,conclusions,0.8751485
"All dogs received allogeneic BM-derived MSCs : @ once ( group A ) , @ once ( group B ) , and @ for three consecutive days ( group C ) .",background,methods,0.8750834
"In the AT/IMT group , IMT was performed at @ % of sustained maximal inspiratory pressure ( SPImax ) while in the AT/SHAM group it was performed at @ % of SPImax , using a computer biofeedback trainer for @ min , three times a week .",results,methods,0.87475103
"Seroprotection rates , geometric mean titres for haemagglutination inhibition antibodies , and CD@ + T-cell responses tended to be higher in the AS@A-adjuvanted groups .",conclusions,results,0.87473935
The patients ' GERD questionnaire ( GerdQ ) and hospital anxiety and depression ( HAD ) scores were obtained before and after treatment .,objective,methods,0.87455934
"While both insertion methods proved equivalent for successful vessel cannulation , AST was significantly faster ( P = @ ) and resulted in less blood loss ( P = @ ) than MST .",conclusions,results,0.874286
"Key cost drivers were consumable supplies , capacity utilization , personnel costs , and device price .",results,methods,0.8740213
"In the montelukast group , patients were treated with montelukast tablets and fluticasone propionate nasal spray ( n = @ ) .",results,methods,0.8740008
The study was performed by four surgeons operating in two community hospitals .,background,methods,0.8738332
Different PBW equations might introduce important differences in tidal volumes delivered to research subjects and patients .,background,conclusions,0.873597
The Images Scale contained @ items measuring stereotypic content concerning psychiatry and psychiatrists .,conclusions,methods,0.8733246
