Text,True_Label,Predicted_Label,Confidence
"Compared with OP , PKEP was associated with less perioperative hemoglobin decrease , shorter catheterization time , and shorter postoperative hospital stay ( @ vs @ g/dl , @ vs @h , and @ vs @ d , respectively ; p < @ for all ) , as well as fewer short-term complications ( @ % vs @ % , p = @ ) .",conclusions,results,0.99793386
"RIPC-induced protection was reflected by decreased serum troponin I concentration area under the curve ( @ versus @ ng/ml @ h , p = @ ) .",methods,results,0.99792635
"VO@ pic increased after AT ( @ @ vs @ @ mL O@/min/kg , P < @ ) and remained unchanged after CT ( @ @ vs @ @ , P = NS ) .",methods,results,0.9978667
"Carvedilol significantly reduced HVPG from @ mm Hg ( SD , @ ) to @ mm Hg ( SD , @ ) after @ minutes and to @ mm Hg ( SD , @ ) after @ days ( P < @ ) .",methods,results,0.99784863
"Total training impulse ( exercise rehabilitation and other paramedical actions ) were evaluated and harmonized between AT and CT according to Foster et al. formula ( @ ) RESULTS : No significant difference were found in training impulse between AT and CT ( @ @ vs @ @ U , P = NS ) .",methods,results,0.99783105
"The risk of subsequent relapse among those who had achieved remission of symptoms at week @ was lower in the vitamins than placebo group ( OR = @ , @ % CI @-@ @ ) .",methods,results,0.9978188
"Carvedilol effectively decreased HVPG in a greater proportion of the patients after an acute probe ( @ % vs. @ % ) and after @ days of the treatment ( @ % vs. @ % , P < @ ) in comparison with nebivolol .",methods,results,0.9976655
Thromboses were more commonly incident ( n = @ -LSB- @ % -RSB- ) than prevalent ( n = @ -LSB- @ % -RSB- ) ( P < @ ) and more often deep ( n = @ -LSB- @ % -RSB- ) than superficial ( n = @ -LSB- @ % -RSB- ) ( P < @ ) .,methods,results,0.9976496
Survival rates after PCS were greater at all time intervals and in all Child classes ( P < @ ) .,methods,results,0.9976277
"Remission of symptoms was achieved by @ and @ % of participants treated with placebo and vitamins by week @ ( P = @ ) , by @ and @ % at week @ and @ and @ % at week @ ( effect of intervention over @ weeks : odds ratio ( OR ) = @ , @ % CI @-@ @ ) .",methods,results,0.99755883
"Nebivolol reduced HVPG from @ mm Hg ( SD , @ ) to @ mm Hg ( SD , @ ) and @ mm Hg ( SD , @ ) , respectively ( P < @ ) .",methods,results,0.9974558
"Nonleg DVTs were not associated with ICU mortality ( HR , @ ; @ % CI , @-@ @ ) in a model adjusting for age , APACHE II , vasopressor use , mechanical ventilation , renal replacement therapy , and platelet count below @ @ ( @ ) / L. CONCLUSIONS AND RELEVANCE Despite universal heparin thromboprophylaxis , nonleg thromboses are found in @ % of medical-surgical critically ill patients , primarily in deep veins and proximal veins .",methods,results,0.9972951
"On intention-to-treat analysis , both the PKEP and OP groups had equivalent Qmax ( @ ml/s vs @ ml/s , respectively ; p = @ ) , International Prostate Symptom Score ( @ -LSB- @-@ -RSB- vs @ -LSB- @-@ -RSB- , respectively p = @ ) , quality of life ( @ -LSB- @-@ -RSB- vs @ -LSB- @-@ -RSB- , respectively ; p = @ ) , and postvoid residual urine ( @ -LSB- @-@ @ -RSB- vs @ -LSB- @-@ -RSB- ml , respectively ; p = @ ) at @ mo postoperatively .",conclusions,results,0.9972174
"Comparing average IL-@ values between the two treatment groups in all tear samples at @ h , @ h and @ h after intervention a significantly higher level in the PRK group @ h after procedure ( p = @ ) was detected .",methods,results,0.99720556
"Four weeks of training induced significant increase in pVO@ peak , VO@-vt and FC-vt , expressed in absolute or relative value ( P < @,@ ) , without any difference between AT and CT modalities ( P = NS ) .",methods,results,0.99716645
"Cancer was the only independent predictor of incident NLDVT ( hazard ratio -LSB- HR -RSB- , @ ; @ % CI , @-@ @ ) .",methods,results,0.9970299
"Additionally , AST resulted in significantly fewer vessel-to-air exposure events ( P < @ ) and unprotected sharps exposures ( P < @ ) .",conclusions,results,0.99698955
There was no significant difference in proximal migration between the tantalum and titanium acetabular cups through the five-year follow-up ( p > @ ) .,conclusions,results,0.99698263
"While both insertion methods proved equivalent for successful vessel cannulation , AST was significantly faster ( P = @ ) and resulted in less blood loss ( P = @ ) than MST .",conclusions,results,0.99687815
"In PAD patients , there was a higher risk of major bleeding or NMCR bleeding with rivaroxaban when compared with warfarin ( interaction P = @ ) .",conclusions,results,0.9965413
"The distribution of FI was similar to that seen in population studies of adults aged @years and above ( median FI , @ ; IQR , @-@ @ ) .",methods,results,0.9965389
