Text,True_Label,Predicted_Label,Confidence
"One h after the treatment IL-@ was detectable in @ % of samples for the LASIK group and @ % of samples for the PRK group , and @ h after the treatment it was detectable in @ % of samples for the LASIK group and in @ % of samples for the PRK group .",methods,results,0.92989945
"Total training impulse ( exercise rehabilitation and other paramedical actions ) were evaluated and harmonized between AT and CT according to Foster et al. formula ( @ ) RESULTS : No significant difference were found in training impulse between AT and CT ( @ @ vs @ @ U , P = NS ) .",methods,results,0.9272579
"Carvedilol significantly reduced HVPG from @ mm Hg ( SD , @ ) to @ mm Hg ( SD , @ ) after @ minutes and to @ mm Hg ( SD , @ ) after @ days ( P < @ ) .",methods,results,0.92590636
The mucosal damage scores for the alendronate group ( total score @ ) were significantly higher than those for the Maxmarvil group ( total score @ ) in the esophagus and stomach .,conclusions,results,0.924898
Thromboses were more commonly incident ( n = @ -LSB- @ % -RSB- ) than prevalent ( n = @ -LSB- @ % -RSB- ) ( P < @ ) and more often deep ( n = @ -LSB- @ % -RSB- ) than superficial ( n = @ -LSB- @ % -RSB- ) ( P < @ ) .,methods,results,0.9240806
"Compared with OP , PKEP was associated with less perioperative hemoglobin decrease , shorter catheterization time , and shorter postoperative hospital stay ( @ vs @ g/dl , @ vs @h , and @ vs @ d , respectively ; p < @ for all ) , as well as fewer short-term complications ( @ % vs @ % , p = @ ) .",conclusions,results,0.9230829
Survival rates after PCS were greater at all time intervals and in all Child classes ( P < @ ) .,methods,results,0.9218217
"VO@ pic increased after AT ( @ @ vs @ @ mL O@/min/kg , P < @ ) and remained unchanged after CT ( @ @ vs @ @ , P = NS ) .",methods,results,0.9217447
"Carvedilol effectively decreased HVPG in a greater proportion of the patients after an acute probe ( @ % vs. @ % ) and after @ days of the treatment ( @ % vs. @ % , P < @ ) in comparison with nebivolol .",methods,results,0.91730887
"On intention-to-treat analysis , both the PKEP and OP groups had equivalent Qmax ( @ ml/s vs @ ml/s , respectively ; p = @ ) , International Prostate Symptom Score ( @ -LSB- @-@ -RSB- vs @ -LSB- @-@ -RSB- , respectively p = @ ) , quality of life ( @ -LSB- @-@ -RSB- vs @ -LSB- @-@ -RSB- , respectively ; p = @ ) , and postvoid residual urine ( @ -LSB- @-@ @ -RSB- vs @ -LSB- @-@ -RSB- ml , respectively ; p = @ ) at @ mo postoperatively .",conclusions,results,0.91584396
"The risk of subsequent relapse among those who had achieved remission of symptoms at week @ was lower in the vitamins than placebo group ( OR = @ , @ % CI @-@ @ ) .",methods,results,0.91532296
"RIPC-induced protection was reflected by decreased serum troponin I concentration area under the curve ( @ versus @ ng/ml @ h , p = @ ) .",methods,results,0.91430974
"The distribution of FI was similar to that seen in population studies of adults aged @years and above ( median FI , @ ; IQR , @-@ @ ) .",methods,results,0.9125457
"Nebivolol reduced HVPG from @ mm Hg ( SD , @ ) to @ mm Hg ( SD , @ ) and @ mm Hg ( SD , @ ) , respectively ( P < @ ) .",methods,results,0.91025484
"Comparing average IL-@ values between the two treatment groups in all tear samples at @ h , @ h and @ h after intervention a significantly higher level in the PRK group @ h after procedure ( p = @ ) was detected .",methods,results,0.90876323
"Remission of symptoms was achieved by @ and @ % of participants treated with placebo and vitamins by week @ ( P = @ ) , by @ and @ % at week @ and @ and @ % at week @ ( effect of intervention over @ weeks : odds ratio ( OR ) = @ , @ % CI @-@ @ ) .",methods,results,0.9060792
Ischemia-reperfusion did not significantly reduce FMD in patients with CAD + type @ diabetes .,results,conclusions,0.9054336
A QoL questionnaire including a pain scale will assess changes from baseline scores through @ months .,conclusions,methods,0.90437686
Levosimendan augments haemodynamics without further oxygen consumption and improves echocardiographic indices of diastolic dysfunction .,background,conclusions,0.9026841
"A collaborative care team , including a psychiatrist , psychologist , project manager , and @ social workers , met weekly , collaborated with the patients ' obstetrics providers , and monitored depression severity using an electronic tracking system .",conclusions,methods,0.8950719
Children born to mothers in the study group were a mean @ g heavier at @ years of age and their systolic blood pressure was a mean @ mm Hg lower than children born to mothers in the control group .,background,results,0.89495057
"Nonleg DVTs were not associated with ICU mortality ( HR , @ ; @ % CI , @-@ @ ) in a model adjusting for age , APACHE II , vasopressor use , mechanical ventilation , renal replacement therapy , and platelet count below @ @ ( @ ) / L. CONCLUSIONS AND RELEVANCE Despite universal heparin thromboprophylaxis , nonleg thromboses are found in @ % of medical-surgical critically ill patients , primarily in deep veins and proximal veins .",methods,results,0.89312255
Group differences in MADRS scores over time were not significant ( P = @ ) .,methods,results,0.8921173
"Of the patients enrolled in STARTER , @ had QRS@ ms and @ had @ < QRS@ ms.",methods,results,0.89203095
"Endothelial function , weight , blood pressure , waist circumference , inflammation and coagulation were unchanged as were lipids except for HDL-C .",conclusions,results,0.8908394
Response rate to first invitation ranged from @ % to @ % between centres .,methods,results,0.8907453
Prucalopride is effective at alleviating symptoms of chronic constipation in women .,objective,conclusions,0.890471
"Many of the post-test questions/behaviors ( e.g. , capable of exiting home during a fire , etc. ) were reported at @ % .",conclusions,results,0.8904551
"The study is registered at ClinicalTrials.gov , number NCT@ .",conclusions,methods,0.889911
"In the expanded RCT of TIPS versus EPCS , @ and @ % , respectively , were in Child class C. Permanent control of BGV was achieved in @-@ % of patients treated by emergency or elective PCS , compared with @-@ % by ET .",methods,results,0.88917184
"At @months , rates of the composite outcome of death , end-stage renal disease and relapse did not differ between groups .",conclusions,results,0.888929
