Text,True_Label,Predicted_Label,Confidence
Thromboses were more commonly incident ( n = @ -LSB- @ % -RSB- ) than prevalent ( n = @ -LSB- @ % -RSB- ) ( P < @ ) and more often deep ( n = @ -LSB- @ % -RSB- ) than superficial ( n = @ -LSB- @ % -RSB- ) ( P < @ ) .,methods,results,0.969468
"On intention-to-treat analysis , both the PKEP and OP groups had equivalent Qmax ( @ ml/s vs @ ml/s , respectively ; p = @ ) , International Prostate Symptom Score ( @ -LSB- @-@ -RSB- vs @ -LSB- @-@ -RSB- , respectively p = @ ) , quality of life ( @ -LSB- @-@ -RSB- vs @ -LSB- @-@ -RSB- , respectively ; p = @ ) , and postvoid residual urine ( @ -LSB- @-@ @ -RSB- vs @ -LSB- @-@ -RSB- ml , respectively ; p = @ ) at @ mo postoperatively .",conclusions,results,0.96291274
"Compared with OP , PKEP was associated with less perioperative hemoglobin decrease , shorter catheterization time , and shorter postoperative hospital stay ( @ vs @ g/dl , @ vs @h , and @ vs @ d , respectively ; p < @ for all ) , as well as fewer short-term complications ( @ % vs @ % , p = @ ) .",conclusions,results,0.95162696
"RIPC-induced protection was reflected by decreased serum troponin I concentration area under the curve ( @ versus @ ng/ml @ h , p = @ ) .",methods,results,0.95017076
"VO@ pic increased after AT ( @ @ vs @ @ mL O@/min/kg , P < @ ) and remained unchanged after CT ( @ @ vs @ @ , P = NS ) .",methods,results,0.9441287
"Comparing average IL-@ values between the two treatment groups in all tear samples at @ h , @ h and @ h after intervention a significantly higher level in the PRK group @ h after procedure ( p = @ ) was detected .",methods,results,0.94295573
"A prospective , randomized , controlled , blinded clinical trial was performed .",background,methods,0.9407483
"Additionally , AST resulted in significantly fewer vessel-to-air exposure events ( P < @ ) and unprotected sharps exposures ( P < @ ) .",conclusions,results,0.93866026
"Cancer was the only independent predictor of incident NLDVT ( hazard ratio -LSB- HR -RSB- , @ ; @ % CI , @-@ @ ) .",methods,results,0.929864
Survival rates after PCS were greater at all time intervals and in all Child classes ( P < @ ) .,methods,results,0.92679596
"Carvedilol significantly reduced HVPG from @ mm Hg ( SD , @ ) to @ mm Hg ( SD , @ ) after @ minutes and to @ mm Hg ( SD , @ ) after @ days ( P < @ ) .",methods,results,0.9266122
"DESIGN , SUBJECTS , INTERVENTION , OUTCOME MEASURES : In a randomized controlled trial , patients with allergic bronchial asthma were either allocated to a group receiving acupuncture immediately or a waiting-list control group .",objective,methods,0.92176884
P > @ indicated no significant difference .,methods,results,0.9204592
"Nebivolol reduced HVPG from @ mm Hg ( SD , @ ) to @ mm Hg ( SD , @ ) and @ mm Hg ( SD , @ ) , respectively ( P < @ ) .",methods,results,0.9146688
Group differences in MADRS scores over time were not significant ( P = @ ) .,methods,results,0.9135637
The mucosal damage scores for the alendronate group ( total score @ ) were significantly higher than those for the Maxmarvil group ( total score @ ) in the esophagus and stomach .,conclusions,results,0.90521806
"Patients who have a malignant condition may have a significantly higher risk of developing NLDVT , and patients with NLDVT , compared with those without , appeared to be at higher risk of PE but not higher risk of death .",methods,conclusions,0.903714
"Primary end point was health-related quality of life after @ year , assessed with Medical Outcomes Study Short Form @ version @ and Vascular Quality of Life Questionnaire , and secondary end points included walking distances on a graded treadmill .",results,methods,0.89537984
"Nonleg DVTs were not associated with ICU mortality ( HR , @ ; @ % CI , @-@ @ ) in a model adjusting for age , APACHE II , vasopressor use , mechanical ventilation , renal replacement therapy , and platelet count below @ @ ( @ ) / L. CONCLUSIONS AND RELEVANCE Despite universal heparin thromboprophylaxis , nonleg thromboses are found in @ % of medical-surgical critically ill patients , primarily in deep veins and proximal veins .",methods,results,0.89532137
There were no significant differences between the groups regarding the target variables .,conclusions,results,0.8916871
"Secondary endpoints : angiographic outcome of the procedure , fluoroscopy time and X-ray dose , procedural time , crossover rate to another puncture site and hospitalisation in days .",results,methods,0.8879302
"A double-blind , randomized , controlled trial was conducted at @ sites in the United States .",results,methods,0.8877827
"The authors designed a randomized , double blind , placebo-controlled , parallel-group , pilot study in which migraineurs who also had insomnia were enrolled , to test this observation .",objective,methods,0.8873885
"In a single-center , randomized , double-blinded , placebo-controlled , multi-arm parallel-group clinical trial , patients undergoing primary Fontan surgery were assigned to receive nesiritide , milrinone , or placebo .",results,methods,0.88513774
"The risk of subsequent relapse among those who had achieved remission of symptoms at week @ was lower in the vitamins than placebo group ( OR = @ , @ % CI @-@ @ ) .",methods,results,0.884215
Patients were @ % minority ; @ % female ; @ % alcohol dependent ; mean age @ .,methods,results,0.8839923
Statistical analysis was performed to compare the AMP group ( Group A + Group B ) with the control group ( Group C ) .,results,methods,0.88337356
"Primary outcomes including PA changes and secondary outcomes including self-efficacy , physical function , cognitive function , and disability will be assessed at baseline , @ , and @ months .",results,methods,0.8805914
"All approaches produce large reductions in BP and respiration influences on the oxy-Hb signals and , therefore , improve the contrast-to-noise ratio ( CNR ) .",results,conclusions,0.87964934
The primary efficacy endpoint ( stroke or non-central nervous system embolism ) was examined by quartiles of cTTR and by cTTR as a continuous function .,results,methods,0.8778269
End-point data will be collected after @ years of the intervention .,conclusions,methods,0.8770157
A pragmatic prospective cluster-randomised trial of Xpert for all individuals with presumptive ( symptomatic ) TB compared to the routine diagnostic algorithm of sputum microscopy and limited use of culture was conducted in a large TB/HIV primary care clinic .,results,methods,0.87449396
"Out of @ enrolled patients , @ patients ( @ : in midodrine group ; @ : in placebo group ) completed the study and @ patients lost to follow up .",methods,results,0.8741508
IncobotulinumtoxinA achieved a maximum responder rate of @ % and a long duration of treatment effect : @ % of subjects showed efficacy at @ days .,conclusions,results,0.8730162
( Trial registration at ClinicalTrials.gov : NCT@ . ),methods,conclusions,0.87085605
Baseline characteristics were similar between the treatment groups .,methods,results,0.8706099
"Primary outcome measures were symptom self-rating scales ( Insomnia Severity Index -LSB- ISI -RSB- and the Montgomery sberg Depression Rating Scale -LSB- MADRS-S -RSB- ) , assessed before and after treatment with follow-up after @ and @ mo. .",results,methods,0.87028974
The control group received the skin care protocol every @ hours and the interventional group received the protocol every @ hours ; both groups also received it as needed .,objective,methods,0.8702529
"Clinical and economic outcomes were examined @ months before , @ months during , and @ months after trial completion .",results,methods,0.8702463
The primary outcome measure was household air nicotine levels measured by passive dosimeters .,results,methods,0.870191
"In a cluster randomized trial carried out in Jinja district , Uganda , @ primary schools were randomized into two groups ; one received education messages for schistosomiasis prevention for two months prior to mass treatment , while the other , in addition to the education messages , received a pre-treatment snack shortly before mass treatment .",results,methods,0.86963886
"Analyzing the dynamics of IL-@ concentration changes in the @ h samples vs. @ h samples there was a statistically significant increase in the number of samples with IL-@ concentration decline in the LASIK group , while at the same time no considerable changes occurred in the PRK group .",methods,results,0.8690071
They received standard medical care and micro - and macrovascular events were documented .,results,methods,0.86885154
"Outcome was assessed after @ months , and the primary endpoint was LVEF measured by cardiac magnetic resonance imaging ( MRI ) at rest .",results,methods,0.867325
"were collected @ days after the full bloom day ; blanched and pressed to obtain apple pomace which was then processed with a food cutter , oven-dried and milled to prepare apple powder .",results,methods,0.86591226
"Carvedilol effectively decreased HVPG in a greater proportion of the patients after an acute probe ( @ % vs. @ % ) and after @ days of the treatment ( @ % vs. @ % , P < @ ) in comparison with nebivolol .",methods,results,0.8658839
Children born to mothers in the study group were a mean @ g heavier at @ years of age and their systolic blood pressure was a mean @ mm Hg lower than children born to mothers in the control group .,background,results,0.86552244
The apneic threshold and CO reserve were measured at baseline and repeated after at a minimum of @ month .,results,methods,0.86536777
"The study demonstrated increase of mean exposure parameters in Japanese subjects vs. Caucasian subjects , which ranged between @ - @ % and @ - @ % , for indacaterol and MF components , respectively .",conclusions,results,0.8652861
