Text,True_Label,Predicted_Label,Confidence
"Study outcomes were seizure days and patients with seizures , both measured in days @-@ .",methods,results,0.772842
Prevalence of BE and esophagitis in community subjects @ years of age was substantial .,conclusions,results,0.77125025
Median door-to-thrombolytic time was also compared .,methods,results,0.7668599
Survival rates after PCS were greater at all time intervals and in all Child classes ( P < @ ) .,methods,results,0.7638546
"The ovulation induction , pregnancy and menstruation resuming of patients in the two ' , The totally effective rate was @ % ( @/@ ) in group A , which was group were observed and compared .",methods,results,0.7602026
"Compared with OP , PKEP was associated with less perioperative hemoglobin decrease , shorter catheterization time , and shorter postoperative hospital stay ( @ vs @ g/dl , @ vs @h , and @ vs @ d , respectively ; p < @ for all ) , as well as fewer short-term complications ( @ % vs @ % , p = @ ) .",conclusions,results,0.7550369
"Subsequently , current perceived ability to negotiate stairs was reported immediately before the intervention ( on average @ weeks after surgery ) and @ , @ , and @ months thereafter .",methods,results,0.7455033
"In the other @ normal subjects ( validation group ) , MBF and CFR obtained by dynamic CTP and PET were compared .",methods,results,0.74418145
Weight and height gains were similar for AGR and SGR children but poorer compared with NGR children .,conclusions,results,0.73684967
Group differences in MADRS scores over time were not significant ( P = @ ) .,methods,results,0.7336572
"Also , first breast-feeding time , first mobilization time and opioid consumption were recorded and compared .",methods,results,0.7288336
Changes in measures ( pre-post and intervention versus control ) were compared .,methods,results,0.7221683
Patients with on-treatment SBP < @ mm Hg ( lowest tertile ) and SBP > @ ( highest tertile ) were compared with patients with average SBP between @ and @ .,methods,results,0.72069556
Difference in change in HbA@c level from baseline between groups at @ months .,methods,results,0.72061443
Total lipid uptake was greater after @ days of EW compared with @ hours of DD .,conclusions,results,0.71948695
The proportion of male and female was @ : @ .,methods,results,0.7147162
High risk of error was being certain that incorrect answer was correct .,methods,results,0.71132463
Thromboses were more commonly incident ( n = @ -LSB- @ % -RSB- ) than prevalent ( n = @ -LSB- @ % -RSB- ) ( P < @ ) and more often deep ( n = @ -LSB- @ % -RSB- ) than superficial ( n = @ -LSB- @ % -RSB- ) ( P < @ ) .,methods,results,0.70692873
The mean age was @ years ( @-@ ) and @ % were males .,methods,results,0.7045623
There was no difference between intervention and control group in resident teaching identity over time .,conclusions,results,0.7024507
"At @ months of age , most of these children had pneumococcal serotype-specific IgG concentrations @ g/ml and opsonophagocytic assay ( OPA ) titers @ .",background,results,0.69307774
"However , glargine PK and plasma C-peptide levels were similar , as well as glargine PD when analyzed by @-h clock time independent of the time of administration .",conclusions,results,0.68911815
"When comparing PRNT , non-inferiority of one SD was not established and the peak titers were low for both groups .",conclusions,results,0.6867976
