Text,True_Label,Predicted_Label,Confidence
"Carvedilol significantly reduced HVPG from @ mm Hg ( SD , @ ) to @ mm Hg ( SD , @ ) after @ minutes and to @ mm Hg ( SD , @ ) after @ days ( P < @ ) .",methods,results,0.99929893
Ischemia-reperfusion did not significantly reduce FMD in patients with CAD + type @ diabetes .,results,conclusions,0.99925524
"Seroprotection rates , geometric mean titres for haemagglutination inhibition antibodies , and CD@ + T-cell responses tended to be higher in the AS@A-adjuvanted groups .",conclusions,results,0.999218
Both EA and Mox treatments were effective at relieving abdominal pain in IBS-D and IBS-C patients .,results,conclusions,0.99919003
"Comparing average IL-@ values between the two treatment groups in all tear samples at @ h , @ h and @ h after intervention a significantly higher level in the PRK group @ h after procedure ( p = @ ) was detected .",methods,results,0.9991823
"Remission of symptoms was achieved by @ and @ % of participants treated with placebo and vitamins by week @ ( P = @ ) , by @ and @ % at week @ and @ and @ % at week @ ( effect of intervention over @ weeks : odds ratio ( OR ) = @ , @ % CI @-@ @ ) .",methods,results,0.9991697
"In PAD patients , there was a higher risk of major bleeding or NMCR bleeding with rivaroxaban when compared with warfarin ( interaction P = @ ) .",conclusions,results,0.9991647
"The risk of subsequent relapse among those who had achieved remission of symptoms at week @ was lower in the vitamins than placebo group ( OR = @ , @ % CI @-@ @ ) .",methods,results,0.9991646
"On intention-to-treat analysis , both the PKEP and OP groups had equivalent Qmax ( @ ml/s vs @ ml/s , respectively ; p = @ ) , International Prostate Symptom Score ( @ -LSB- @-@ -RSB- vs @ -LSB- @-@ -RSB- , respectively p = @ ) , quality of life ( @ -LSB- @-@ -RSB- vs @ -LSB- @-@ -RSB- , respectively ; p = @ ) , and postvoid residual urine ( @ -LSB- @-@ @ -RSB- vs @ -LSB- @-@ -RSB- ml , respectively ; p = @ ) at @ mo postoperatively .",conclusions,results,0.9991497
"Compared with OP , PKEP was associated with less perioperative hemoglobin decrease , shorter catheterization time , and shorter postoperative hospital stay ( @ vs @ g/dl , @ vs @h , and @ vs @ d , respectively ; p < @ for all ) , as well as fewer short-term complications ( @ % vs @ % , p = @ ) .",conclusions,results,0.99914885
"DP can be used for serial monitoring , to decrease hypercarbia , improve sleep , and decrease atrophy .",results,conclusions,0.99914026
"From January @ to July @ , @ eligible patients were randomly assigned to LSG or LRYGB .",methods,results,0.9991387
"VO@ pic increased after AT ( @ @ vs @ @ mL O@/min/kg , P < @ ) and remained unchanged after CT ( @ @ vs @ @ , P = NS ) .",methods,results,0.99910504
"RIPC-induced protection was reflected by decreased serum troponin I concentration area under the curve ( @ versus @ ng/ml @ h , p = @ ) .",methods,results,0.99910444
"Cancer was the only independent predictor of incident NLDVT ( hazard ratio -LSB- HR -RSB- , @ ; @ % CI , @-@ @ ) .",methods,results,0.99907386
Further efficacy trials are needed to test the effects of Web support when offered as a part of routine care .,background,conclusions,0.9990694
"After adjusting for Acute Physiology and Chronic Health Evaluation ( APACHE ) II scores , personal or family history of venous thromboembolism , body mass index , vasopressor use , type of thromboprophylaxis , and presence of leg DVT , NLDVTs were associated with an increased risk of PE ( HR , @ ; @ % CI , @-@ @ ) .",methods,results,0.99902785
A pre-school PCV-@ booster was highly immunogenic and resulted in low rates of local and systemic adverse effects .,results,conclusions,0.9990257
"Repeated episodes of PSE occurred in @ % of TIPS patients , @-@ % treated by ET , and @-@ % treated by PCS .",methods,results,0.99902534
Thromboses were more commonly incident ( n = @ -LSB- @ % -RSB- ) than prevalent ( n = @ -LSB- @ % -RSB- ) ( P < @ ) and more often deep ( n = @ -LSB- @ % -RSB- ) than superficial ( n = @ -LSB- @ % -RSB- ) ( P < @ ) .,methods,results,0.99902356
Prucalopride is effective at alleviating symptoms of chronic constipation in women .,objective,conclusions,0.99900097
Levosimendan augments haemodynamics without further oxygen consumption and improves echocardiographic indices of diastolic dysfunction .,background,conclusions,0.9989845
Preserved residual acoustic hearing has a positive effect on speech intelligibility in difficult noise conditions .,background,conclusions,0.9989766
"Women with PCOS present elevated plasma insulin levels , both fasting and after a glucose load , as an indirect evidence of insulin resistance .",background,conclusions,0.99893254
"However , Mox was more effective at reducing diarrhea in IBS-D patients , whereas EA was more effective at improving constipation in IBS-C patients .",results,conclusions,0.9989249
"Additionally , AST resulted in significantly fewer vessel-to-air exposure events ( P < @ ) and unprotected sharps exposures ( P < @ ) .",conclusions,results,0.99890745
