ROCO_ID,PMC_ID,Keywords,Caption,keyword_label,matched_keywords,split,sample_id,caption,keywords,label,image_path,image_exists,caption_len,pair_id
ROCO_36464,PMC3999652_IJT-5-201-g001.jpg,"choroidal,branch,arteriovenou,demonstrate,parasagittal,posterior,black,arrow,anteroposterior,artery,contribution,view,angiogram,malformation", Angiogram (anteroposterior view) demonstrate a left posterior parasagittal arteriovenous malformation with contributions from posterior choroidal artery branches (black arrow),xray_radiograph,anteroposterior,train,ROCO_36464,Angiogram (anteroposterior view) demonstrate a left posterior parasagittal arteriovenous malformation with contributions from posterior choroidal artery branches (black arrow),"choroidal,branch,arteriovenou,demonstrate,parasagittal,posterior,black,arrow,anteroposterior,artery,contribution,view,angiogram,malformation",xray_radiograph,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3999652_IJT-5-201-g001.jpg,True,175,train_016914
ROCO_72070,PMC4994233_12893_2016_175_Fig2_HTML.jpg,"cut,psuedoaneurysm,point,stent,axial,right,common,arrow,hepatic,artery,ct"," CT study, an axial cut: the arrows points at, A: right hepatic artery psuedoaneurysm B: Stent C: common hepatic artery",ct,ct,train,ROCO_72070,"CT study, an axial cut: the arrows points at, A: right hepatic artery psuedoaneurysm B: Stent C: common hepatic artery","cut,psuedoaneurysm,point,stent,axial,right,common,arrow,hepatic,artery,ct",ct,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4994233_12893_2016_175_Fig2_HTML.jpg,True,118,train_033575
ROCO_45246,PMC3629353_kjpain-26-203-g001.jpg,"myelogram,needle,introducer,anteroposterior,dye,injection,contrast,view", Contrast dye injection to the introducer needle showed a myelogram in the anteroposterior view.,xray_radiograph,anteroposterior,train,ROCO_45246,Contrast dye injection to the introducer needle showed a myelogram in the anteroposterior view.,"myelogram,needle,introducer,anteroposterior,dye,injection,contrast,view",xray_radiograph,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3629353_kjpain-26-203-g001.jpg,True,95,train_021067
ROCO_46534,PMC4329742_CRIS2015-530680.001.jpg,"tomography,wall,intestinal,air", Computed tomography showing air in the intestinal wall.,ct,"tomography,computed tomography",train,ROCO_46534,Computed tomography showing air in the intestinal wall.,"tomography,wall,intestinal,air",ct,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4329742_CRIS2015-530680.001.jpg,True,55,train_021669
ROCO_11054,PMC4142298_CRIPA2014-509086.013.jpg,"mas,right,lobe,frontal,large,brain,mri", MRI brain: large right frontal lobe mass.,mri,mri,train,ROCO_11054,MRI brain: large right frontal lobe mass.,"mas,right,lobe,frontal,large,brain,mri",mri,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4142298_CRIPA2014-509086.013.jpg,True,41,train_005132
ROCO_18704,PMC4062241_EUS-2-105-g003.jpg,"fnac,ultrasound,mas,endoscopic", Endoscopic ultrasound FNAC of the mass.,ultrasound,ultrasound,train,ROCO_18704,Endoscopic ultrasound FNAC of the mass.,"fnac,ultrasound,mas,endoscopic",ultrasound,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4062241_EUS-2-105-g003.jpg,True,39,train_008651
ROCO_24037,PMC3781260_13244_2013_265_Fig3_HTML.jpg,"great,initial,patient,evident,show,paratrochanteric,faint,due,paraplegia,traumatic,ossification,bursa,imaging,adjacent,trabecular,trochanter,immature,male,margin,structure,ct", A 62-year-old male patient with traumatic paraplegia. CT imaging shows soft-tissue thickening adjacent to the great trochanter due to bursitis. An immature ossification with an initial trabecular structure and faint margins is evident within the paratrochanteric bursa,ct,ct,train,ROCO_24037,A 62-year-old male patient with traumatic paraplegia. CT imaging shows soft-tissue thickening adjacent to the great trochanter due to bursitis. An immature ossification with an initial trabecular structure and faint margins is evident within the paratrochanteric bursa,"great,initial,patient,evident,show,paratrochanteric,faint,due,paraplegia,traumatic,ossification,bursa,imaging,adjacent,trabecular,trochanter,immature,male,margin,structure,ct",ct,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3781260_13244_2013_265_Fig3_HTML.jpg,True,268,train_011175
ROCO_75683,PMC5338054_OJO-10-44-g002.jpg,"angiography,choroidal,classic,hyperfluorescent,consistent,appearance,retraction,fibrotic,neovascularization,fluorescein", Hyperfluorescent appearance consistent with classic choroidal neovascularization and fibrotic retraction is observed with fluorescein angiography,angiography,angiography,train,ROCO_75683,Hyperfluorescent appearance consistent with classic choroidal neovascularization and fibrotic retraction is observed with fluorescein angiography,"angiography,choroidal,classic,hyperfluorescent,consistent,appearance,retraction,fibrotic,neovascularization,fluorescein",angiography,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC5338054_OJO-10-44-g002.jpg,True,145,train_035241
ROCO_69048,PMC5724990_gr1.jpg,"tissue,craniocaudal,irregular,cm,thigh,mas,heterogeneou,transverse,superficial,ap,subcutaneou,medial,aspect,mri,dimension,left"," MRI shows an irregular heterogeneous mass located in the superficial subcutaneous tissue in the medial aspect of the left thigh, measuring 11.8 × 10.9 × 8.6 cm in the AP, craniocaudal and transverse dimensions respectively.",mri,mri,train,ROCO_69048,"MRI shows an irregular heterogeneous mass located in the superficial subcutaneous tissue in the medial aspect of the left thigh, measuring 11.8 × 10.9 × 8.6 cm in the AP, craniocaudal and transverse dimensions respectively.","tissue,craniocaudal,irregular,cm,thigh,mas,heterogeneou,transverse,superficial,ap,subcutaneou,medial,aspect,mri,dimension,left",mri,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC5724990_gr1.jpg,True,223,train_032152
ROCO_47830,PMC5137652_003588414x13824511650092-1.jpg,"resonance,axial,magnetic,cholangiopancreatography,empyema", Axial magnetic resonance cholangiopancreatography showing right-sided empyema,mri,"magnetic,resonance,magnetic resonance",train,ROCO_47830,Axial magnetic resonance cholangiopancreatography showing right-sided empyema,"resonance,axial,magnetic,cholangiopancreatography,empyema",mri,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC5137652_003588414x13824511650092-1.jpg,True,77,train_022257
