Text,True_Label,Predicted_Label,Confidence
Survival rates after PCS were greater at all time intervals and in all Child classes ( P < @ ) .,methods,results,0.670903
"Compared with OP , PKEP was associated with less perioperative hemoglobin decrease , shorter catheterization time , and shorter postoperative hospital stay ( @ vs @ g/dl , @ vs @h , and @ vs @ d , respectively ; p < @ for all ) , as well as fewer short-term complications ( @ % vs @ % , p = @ ) .",conclusions,results,0.63329136
"Study outcomes were seizure days and patients with seizures , both measured in days @-@ .",methods,results,0.63267446
Median door-to-thrombolytic time was also compared .,methods,results,0.63147736
"Also , first breast-feeding time , first mobilization time and opioid consumption were recorded and compared .",methods,results,0.63002694
Prevalence of BE and esophagitis in community subjects @ years of age was substantial .,conclusions,results,0.6297445
"Subsequently , current perceived ability to negotiate stairs was reported immediately before the intervention ( on average @ weeks after surgery ) and @ , @ , and @ months thereafter .",methods,results,0.62771523
The mean age was @ years ( @-@ ) and @ % were males .,methods,results,0.6231646
Changes in measures ( pre-post and intervention versus control ) were compared .,methods,results,0.6229912
"The ovulation induction , pregnancy and menstruation resuming of patients in the two ' , The totally effective rate was @ % ( @/@ ) in group A , which was group were observed and compared .",methods,results,0.61981183
Thromboses were more commonly incident ( n = @ -LSB- @ % -RSB- ) than prevalent ( n = @ -LSB- @ % -RSB- ) ( P < @ ) and more often deep ( n = @ -LSB- @ % -RSB- ) than superficial ( n = @ -LSB- @ % -RSB- ) ( P < @ ) .,methods,results,0.6185617
Group differences in MADRS scores over time were not significant ( P = @ ) .,methods,results,0.61829704
"At @ months of age , most of these children had pneumococcal serotype-specific IgG concentrations @ g/ml and opsonophagocytic assay ( OPA ) titers @ .",background,results,0.6125247
The proportion of male and female was @ : @ .,methods,results,0.6119757
Weight and height gains were similar for AGR and SGR children but poorer compared with NGR children .,conclusions,results,0.6053414
Plasma @-hydroxyvitamin D -LSB- @ ( OH ) D -RSB- was determined at mid-pregnancy ( @-@ weeks gestation ) and following birth ( n = @ ) .,methods,results,0.60455745
Difference in change in HbA@c level from baseline between groups at @ months .,methods,results,0.60436875
The pilot phase was completed by @ patients .,results,methods,0.6032395
@ healthy adults ( @ women ; @ men ) aged @-@ who were already participating in the vitamin D and acute respiratory infections study ( VIDARIS ) between February @ and November @ .,methods,results,0.6029612
High risk of error was being certain that incorrect answer was correct .,methods,results,0.59590524
