Text,True_Label,Predicted_Label,Confidence
"On intention-to-treat analysis , both the PKEP and OP groups had equivalent Qmax ( @ ml/s vs @ ml/s , respectively ; p = @ ) , International Prostate Symptom Score ( @ -LSB- @-@ -RSB- vs @ -LSB- @-@ -RSB- , respectively p = @ ) , quality of life ( @ -LSB- @-@ -RSB- vs @ -LSB- @-@ -RSB- , respectively ; p = @ ) , and postvoid residual urine ( @ -LSB- @-@ @ -RSB- vs @ -LSB- @-@ -RSB- ml , respectively ; p = @ ) at @ mo postoperatively .",conclusions,results,0.999498
"RIPC-induced protection was reflected by decreased serum troponin I concentration area under the curve ( @ versus @ ng/ml @ h , p = @ ) .",methods,results,0.9994479
"VO@ pic increased after AT ( @ @ vs @ @ mL O@/min/kg , P < @ ) and remained unchanged after CT ( @ @ vs @ @ , P = NS ) .",methods,results,0.9993011
Thromboses were more commonly incident ( n = @ -LSB- @ % -RSB- ) than prevalent ( n = @ -LSB- @ % -RSB- ) ( P < @ ) and more often deep ( n = @ -LSB- @ % -RSB- ) than superficial ( n = @ -LSB- @ % -RSB- ) ( P < @ ) .,methods,results,0.9992186
"Cancer was the only independent predictor of incident NLDVT ( hazard ratio -LSB- HR -RSB- , @ ; @ % CI , @-@ @ ) .",methods,results,0.99913824
"Comparing average IL-@ values between the two treatment groups in all tear samples at @ h , @ h and @ h after intervention a significantly higher level in the PRK group @ h after procedure ( p = @ ) was detected .",methods,results,0.9990779
"Compared with OP , PKEP was associated with less perioperative hemoglobin decrease , shorter catheterization time , and shorter postoperative hospital stay ( @ vs @ g/dl , @ vs @h , and @ vs @ d , respectively ; p < @ for all ) , as well as fewer short-term complications ( @ % vs @ % , p = @ ) .",conclusions,results,0.99880457
"Remission of symptoms was achieved by @ and @ % of participants treated with placebo and vitamins by week @ ( P = @ ) , by @ and @ % at week @ and @ and @ % at week @ ( effect of intervention over @ weeks : odds ratio ( OR ) = @ , @ % CI @-@ @ ) .",methods,results,0.9976888
Survival rates after PCS were greater at all time intervals and in all Child classes ( P < @ ) .,methods,results,0.9976634
"Additionally , AST resulted in significantly fewer vessel-to-air exposure events ( P < @ ) and unprotected sharps exposures ( P < @ ) .",conclusions,results,0.9974854
"Carvedilol significantly reduced HVPG from @ mm Hg ( SD , @ ) to @ mm Hg ( SD , @ ) after @ minutes and to @ mm Hg ( SD , @ ) after @ days ( P < @ ) .",methods,results,0.99734527
"Secondary endpoints : angiographic outcome of the procedure , fluoroscopy time and X-ray dose , procedural time , crossover rate to another puncture site and hospitalisation in days .",results,methods,0.99700975
"Secondary end-points included progression-free survival ( PFS ) , overall response rate ( ORR ) and duration of response ( DOR ) ; safety end-points were also assessed .",background,methods,0.9969823
"A prospective , randomized , controlled , blinded clinical trial was performed .",background,methods,0.996923
"Group @ implants were @ or @ mm in diameter , and group @ implants were @ mm in diameter ; all implants were @ mm long .",methods,results,0.99683714
"Primary end point was health-related quality of life after @ year , assessed with Medical Outcomes Study Short Form @ version @ and Vascular Quality of Life Questionnaire , and secondary end points included walking distances on a graded treadmill .",results,methods,0.9967777
"DESIGN , SUBJECTS , INTERVENTION , OUTCOME MEASURES : In a randomized controlled trial , patients with allergic bronchial asthma were either allocated to a group receiving acupuncture immediately or a waiting-list control group .",objective,methods,0.9967673
"Nebivolol reduced HVPG from @ mm Hg ( SD , @ ) to @ mm Hg ( SD , @ ) and @ mm Hg ( SD , @ ) , respectively ( P < @ ) .",methods,results,0.9965899
"Carvedilol effectively decreased HVPG in a greater proportion of the patients after an acute probe ( @ % vs. @ % ) and after @ days of the treatment ( @ % vs. @ % , P < @ ) in comparison with nebivolol .",methods,results,0.995843
"Primary outcome measures were symptom self-rating scales ( Insomnia Severity Index -LSB- ISI -RSB- and the Montgomery sberg Depression Rating Scale -LSB- MADRS-S -RSB- ) , assessed before and after treatment with follow-up after @ and @ mo. .",results,methods,0.9953766
The mucosal damage scores for the alendronate group ( total score @ ) were significantly higher than those for the Maxmarvil group ( total score @ ) in the esophagus and stomach .,conclusions,results,0.9950363
"were collected @ days after the full bloom day ; blanched and pressed to obtain apple pomace which was then processed with a food cutter , oven-dried and milled to prepare apple powder .",results,methods,0.99494994
One hundred fifty-one non-GH-deficient short children were included in the intent-to-treat ( ITT ) population and @ in the per-protocol ( PP ) population ; @ children in the ITT and @ children in the PP populations had idiopathic short stature ( ISS ) .,methods,results,0.99405044
A pragmatic prospective cluster-randomised trial of Xpert for all individuals with presumptive ( symptomatic ) TB compared to the routine diagnostic algorithm of sputum microscopy and limited use of culture was conducted in a large TB/HIV primary care clinic .,results,methods,0.9937401
"Primary outcomes including PA changes and secondary outcomes including self-efficacy , physical function , cognitive function , and disability will be assessed at baseline , @ , and @ months .",results,methods,0.9937028
